MyCut MG330M	jkmm_base	Mycut	MG330M	330	96
Refine ART-360	jinka_gc_base2	Refine	ART-360	326	240
Refine DC240	jinka_jk_base2	Refine	DC240	210	208
					
Refine DC330	jinka_jk_base2	Refine	DC330	297	208
Refine EH/MH365	jinka_jk_base2	Refine	EH/MH365	275	208
Refine EH/MH721	jinka_jk_base2	Refine	EH/MH721	630	208
Refine EH/MH871	jinka_jk_base2	Refine	EH/MH871	780	208
Refine EH/MH1351	jinka_jk_base2	Refine	EH/MH1351	1260	208
Refine LH721-ARMS (Manual)	jinka_jk_base2	Refine	LH721-ARMS (Manual)	630	208
Refine LH1351-ARMS (Manual)	jinka_jk_base2	Refine	LH1351-ARMS (Manual)	1260	208
Refine ARMS-1351	jkmm_base	Refine	ARMS 1351	1260	96

					
HBC-720	jinka_gc_base2	HBC	720	630	240
HBC-1350	jinka_gc_base2	HBC	1350	1260	240
HBC-720S	jinka_gc_base2	HBC	720S	630	240
HBC-1350S	jinka_gc_base2	HBC	1350S	1260	240
HBC-ARMS SC	jinka_gc_base2mm	HBC	ARMS 1350SC	1260	96


Saga - 420 IIP (Servo) NEW ARMS+	saga2b_base	SAGA	420 IIP NEW ARMS+	330	307
Saga - 720 IIP (Servo) NEW ARMS+	saga2b_base	SAGA	720 IIP NEW ARMS+	630	307
Saga - 1350 IIP (Servo) NEW ARMS+	saga2b_base	SAGA	1350 IIP NEW ARMS+	1260	307
Saga - 1750 IIP (Servo) NEW ARMS+	saga2b_base	SAGA	1750 IIP NEW ARMS+	1660	307

Saga - 420 I (Stepper)	saga_base	SAGA	420 I	330	80
Saga - 720 I (Stepper)	saga_base	SAGA	720 I	630	80
Saga - 1350 I (Stepper)	saga_base	SAGA	1350 I	1260	80
Saga - 1750 I (Stepper)	saga_base	SAGA	1750 I	1660	80

Saga - 420 II (Servo)	saga_base	SAGA	420 II	330	80
Saga - 720 II (Servo)	saga_base	SAGA	720 II	630	80
Saga - 1350 II (Servo)	saga_base	SAGA	1350 II	1260	80
Saga - 1750 II (Servo)	saga_base	SAGA	1750 II	1660	80

Saga SG-1350B (Garment)	saga_base	SAGA	SG 1350B	1200	80
Saga SG-1750B (Garment)	saga_base	SAGA	SG 1750B	1600	80
Saga SG-1350P (Garment)	saga_base	SAGA	SG 1350P	1200	80
Saga SG-1750P (Garment)	saga_base	SAGA	SG 1750P	1600	80
Saga SG-1380P (Garment)	saga_base	SAGA	SG 1380P	1200	80
Saga SG-1780P (Garment)	saga_base	SAGA	SG 1780P	1600	80
